readable_time,temperature,humidity,lux,solar_voltage
4/1/2025 0:00,28.1947,61.66506,643.6563411542126,0.05
4/1/2025 1:00,28.8726,60.33204,885.5247543085571,0.05
4/1/2025 2:00,28.46899,64.78836,723.7932857074662,0.05
4/1/2025 3:00,28.32238,62.42153,717.2420646913407,0.05
4/1/2025 4:00,28.26183,63.60898,940.3798135839511,0.05
4/1/2025 5:00,28.0085,61.40916,851.5772570331457,0.05
4/1/2025 6:00,27.73333,63.08688,24038.894869817315,0.05
4/1/2025 7:00,27.50526,61.64672,41225.32380214183,0.05
4/1/2025 8:00,28.98953,63.16081,57438.17545663749,0.05
4/1/2025 9:00,27.88324,61.06597,64593.210273305594,0.05
4/1/2025 10:00,28.10499,64.21417,73126.8506954907,0.05
4/1/2025 11:00,28.90066,60.7224,83370.07775065981,0.05
4/1/2025 12:00,27.70783,63.65839,113646.61752378289,0.05
4/1/2025 13:00,27.71242,62.14439,84092.68553579695,0.05
4/1/2025 14:00,28.18651,64.62371,83180.92384136932,0.05
4/1/2025 15:00,27.5958,60.95406,52492.99622827123,0.05
4/1/2025 16:00,28.58706,63.17284,51203.646332647164,0.05
4/1/2025 17:00,27.4517,64.38986,40190.29476861573,0.05
4/1/2025 18:00,28.4928,62.6271,731.607062175492,0.05
4/1/2025 19:00,27.42966,63.70987,666.3059940881375,0.05
4/1/2025 20:00,28.7169,64.80974,948.9167519242089,0.05
4/1/2025 21:00,28.51838,64.60413,820.1561261962003,0.05
4/1/2025 22:00,27.57519,63.75762,698.1679442513997,0.05
4/1/2025 23:00,28.91736,63.8798,944.4040847739634,0.05
4/2/2025 0:00,27.56647,62.3029,660.2817041883848,0.05
4/2/2025 1:00,28.53653,61.88639,872.9048124845551,0.05
4/2/2025 2:00,29.00299,60.61234,722.866130406336,0.05
4/2/2025 3:00,27.92134,63.07606,672.9747014995232,0.05
4/2/2025 4:00,28.37883,60.26412,753.1651107096299,0.05
4/2/2025 5:00,27.53233,63.2538,867.2438238876755,0.05
4/2/2025 6:00,27.79745,60.79294,25868.664151375757,0.05
4/2/2025 7:00,28.02891,62.82416,34909.296043618255,0.05
4/2/2025 8:00,28.28282,60.2822,46714.320254311024,0.05
4/2/2025 9:00,27.99889,64.86556,56602.21415747035,0.05
4/2/2025 10:00,28.48649,62.52318,66749.80444061362,0.05
4/2/2025 11:00,27.54547,62.45813,101234.36215094294,0.05
4/2/2025 12:00,27.36322,60.90916,95729.60097825133,0.05
4/2/2025 13:00,28.42903,61.16401,74533.81291400023,0.05
4/2/2025 14:00,27.44083,60.44592,64788.68816320681,0.05
4/2/2025 15:00,27.89154,64.90139,68231.48110159555,0.05
4/2/2025 16:00,28.68572,64.62652,63209.35867496209,0.05
4/2/2025 17:00,28.11456,63.6683,42540.86364467406,0.05
4/2/2025 18:00,28.10934,63.12234,896.9468751713368,0.05
4/2/2025 19:00,27.40027,63.93256,875.790343865207,0.05
4/2/2025 20:00,28.29984,61.05938,765.8395132669787,0.05
4/2/2025 21:00,28.81423,63.51121,879.7101104453626,0.05
4/2/2025 22:00,28.9586,64.97658,854.0846809047066,0.05
4/2/2025 23:00,28.69896,60.80343,956.6541345335828,0.05
